2,5,7,Solid A-Line Top,306,Women_1592029957848.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103177/ht6phfaw8ja0sdcssdek.jpg,5
2,5,8,Polka Dot Print Wrap Top,168,Women_1592029959098.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103178/xkc7a1twfcprovf6c9dv.jpg,3
2,5,9,Solid Shirt Style Top,221,Women_1592029960331.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103179/agzqdkulerue8iq4roqr.jpg,4
2,5,7,Ruffled Shirt Style Top,166,Women_1592029961492.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103180/qdl8hlpf9kv4pfyf6b92.jpg,3
2,5,10,Lace Top with Bell Sleeves,136,Women_1592029962638.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103180/yc8ix7den6huuwpkjaec.jpg,3
2,5,2,Women Striped Top,474,Women_1592029963825.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103181/gap2eummh2p3qpvlx0p7.jpg,6
2,5,11,Printed Top,339,Women_1592029965464.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103182/axukva9sqn7x4l5t5uje.jpg,5
2,5,8,Top with Floral Embroidery,196,Women_1592029968128.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103183/wxp2wwaqopyviljfxr6f.jpg,3
2,5,5,High-Low Top,376,Women_1592029969381.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103184/dugfbuvnd3t7ccbumg5h.jpg,5
2,5,12,Women Sleeveless Blouse,177,Women_1592029970775.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103185/eeitqy2mpmfeavavvq5b.jpg,3
2,5,8,Women Solid Shirt Style Top,144,Women_1592029972788.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103186/psfrsofjuxzqendl6qkb.jpg,3
2,5,8,Solid Blouson Top,447,Women_1592029973962.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103187/rxnfnueqhvnl1cjge8lp.jpg,6
2,5,13,Solid Top,177,Women_1592029975214.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103188/vgxvmk0mjynxbdof8ds5.jpg,3
2,5,14,Printed Top,454,Women_1592029976442.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103188/gr66bz3zr9lsbcwrzlks.jpg,6
2,5,5,Solid Top,218,Women_1592029978714.jpg,https://res.cloudinary.com/drzudfgzl/image/upload/v1596103189/pzkcvsnmfrhozid3razn.jpg,4
